2024-12-04 20:30:17 status unpacked libncurses-dev:amd64 6.4-4
2024-12-04 20:30:17 install libncursesw5-dev:amd64 <none> 6.4-4
2024-12-04 20:30:17 status half-installed libncursesw5-dev:amd64 6.4-4
2024-12-04 20:30:17 status unpacked libncursesw5-dev:amd64 6.4-4
2024-12-04 20:30:17 install libpthread-stubs0-dev:amd64 <none> 0.4-1
2024-12-04 20:30:17 status half-installed libpthread-stubs0-dev:amd64 0.4-1
2024-12-04 20:30:17 status unpacked libpthread-stubs0-dev:amd64 0.4-1
2024-12-04 20:30:17 install libreadline-dev:amd64 <none> 8.2-1.3
2024-12-04 20:30:17 status half-installed libreadline-dev:amd64 8.2-1.3
2024-12-04 20:30:17 status unpacked libreadline-dev:amd64 8.2-1.3
2024-12-04 20:30:17 install libsqlite3-dev:amd64 <none> 3.40.1-2+deb12u1
2024-12-04 20:30:17 status half-installed libsqlite3-dev:amd64 3.40.1-2+deb12u1
2024-12-04 20:30:17 status unpacked libsqlite3-dev:amd64 3.40.1-2+deb12u1
2024-12-04 20:30:17 install libssl-dev:amd64 <none> 3.0.15-1~deb12u1
2024-12-04 20:30:17 status half-installed libssl-dev:amd64 3.0.15-1~deb12u1
